first_name,last_name,email,remaining_goal_amount
Calogero,Cross,calogero.cross@mercantini.it,153288.00
Lauretta,Neal,lauretta.neal@hotmail.de,151747.00
Chantal,Armas,chantal.armas@jenkins.net,98164.00
Ariadna,Geisel,ariadna.geisel@rangel.com,88154.00
Mathilde,Kruschwitz,mathilde.kruschwitz@yahoo.com,72323.00
Guillermina,Nicholson,guillermina.nicholson@grondin.fr,71872.00
Henry,Gucci,henry.gucci@leleu.fr,41198.00
Gabriela,Padilla,gabriela.padilla@pearson-russell.com,40291.00
Svenja,Perrin,svenja.perrin@berger.com,8362.00
Caroline,Reeves,caroline.reeves@yahoo.com,3768.00
Katarina,Clarke,katarina.clarke@hotmail.com.au,3739.00
Imelda,Guerin,imelda.guerin@stumpf.net,1559.00
Danny,Farrell,danny.farrell@hotmail.com,1503.00
Tobias,Carbajal,tobias.carbajal@live.com,426.00
